regiao;municipio;atividade;produção;ano;valor
Campanha;Herval;Arroz;Alta;2018;20000
Campanha;Herval;Grãos;Média;2015;12050
Campanha;Herval;Grãos;Média;2016;14200
Campanha;Herval;Grãos;Média;2017;14667
Campanha;Herval;Grãos;Média;2018;15000
Campanha;Herval;Pastagem;Baixa;2015;9083
Campanha;Herval;Pastagem;Baixa;2016;9000
Campanha;Herval;Pastagem;Baixa;2017;8667
Campanha;Herval;Pastagem;Baixa;2018;8500
Campanha;Hulha Negra;Arroz;Alta;2015;16833
Campanha;Hulha Negra;Arroz;Alta;2016;19875
Campanha;Hulha Negra;Arroz;Alta;2017;20000
Campanha;Hulha Negra;Arroz;Alta;2018;20000
Campanha;Hulha Negra;Grãos;Média;2015;12050
Campanha;Hulha Negra;Grãos;Média;2016;14200
Campanha;Hulha Negra;Grãos;Média;2017;14667
Campanha;Hulha Negra;Grãos;Média;2018;15000
Campanha;Hulha Negra;Pastagem;Baixa;2015;9083
Campanha;Hulha Negra;Pastagem;Baixa;2016;9000
Campanha;Hulha Negra;Pastagem;Baixa;2017;8667
Campanha;Hulha Negra;Pastagem;Baixa;2018;8500
Campanha;Jaguarão;Arroz;Alta;2015;16833
Campanha;Jaguarão;Arroz;Alta;2016;19875
Campanha;Jaguarão;Arroz;Alta;2017;20000
Campanha;Jaguarão;Arroz;Alta;2018;20000
Campanha;Jaguarão;Grãos;Média;2015;12050
Campanha;Jaguarão;Grãos;Média;2016;14200
Campanha;Jaguarão;Grãos;Média;2017;14667
Campanha;Jaguarão;Grãos;Média;2018;15000
Campanha;Jaguarão;Pastagem;Baixa;2015;9083
Campanha;Jaguarão;Pastagem;Baixa;2016;9000
Campanha;Jaguarão;Pastagem;Baixa;2017;8667
Campanha;Jaguarão;Pastagem;Baixa;2018;8500
Campanha;Lavras do Sul;Arroz;Alta;2015;16833
Campanha;Lavras do Sul;Arroz;Alta;2016;19875
Campanha;Lavras do Sul;Arroz;Alta;2017;20000
Campanha;Lavras do Sul;Arroz;Alta;2018;20000
Campanha;Lavras do Sul;Grãos;Média;2015;12050
Campanha;Lavras do Sul;Grãos;Média;2016;14200
Campanha;Lavras do Sul;Grãos;Média;2017;14667
Campanha;Lavras do Sul;Grãos;Média;2018;15000
Campanha;Lavras do Sul;Pastagem;Baixa;2015;9083
Campanha;Lavras do Sul;Pastagem;Baixa;2016;9000
Campanha;Lavras do Sul;Pastagem;Baixa;2017;8667
Campanha;Lavras do Sul;Pastagem;Baixa;2018;8500
Campanha;Pedras Altas;Arroz;Alta;2015;16833
Campanha;Pedras Altas;Arroz;Alta;2016;19875
Campanha;Pedras Altas;Arroz;Alta;2017;20000
Campanha;Pedras Altas;Arroz;Alta;2018;20000
Campanha;Pedras Altas;Grãos;Média;2015;12050
Campanha;Pedras Altas;Grãos;Média;2016;14200
Campanha;Pedras Altas;Grãos;Média;2017;14667
Campanha;Pedras Altas;Grãos;Média;2018;15000
Campanha;Pedras Altas;Pastagem;Baixa;2015;9083
Campanha;Pedras Altas;Pastagem;Baixa;2016;9000
Campanha;Pedras Altas;Pastagem;Baixa;2017;8667
Campanha;Pedras Altas;Pastagem;Baixa;2018;8500
Campanha;Pedro Osório;Arroz;Alta;2015;16833
Campanha;Pedro Osório;Arroz;Alta;2016;19875
Campanha;Pedro Osório;Arroz;Alta;2017;20000
Campanha;Pedro Osório;Arroz;Alta;2018;20000
Campanha;Pedro Osório;Grãos;Média;2015;12050
Campanha;Pedro Osório;Grãos;Média;2016;14200
Campanha;Pedro Osório;Grãos;Média;2017;14667
Campanha;Pedro Osório;Grãos;Média;2018;15000
Campanha;Pedro Osório;Pastagem;Baixa;2015;9083
Campanha;Pedro Osório;Pastagem;Baixa;2016;9000
Campanha;Pedro Osório;Pastagem;Baixa;2017;8667
Campanha;Pedro Osório;Pastagem;Baixa;2018;8500
Campanha;Pinheiro Machado;Arroz;Alta;2015;16833
Campanha;Pinheiro Machado;Arroz;Alta;2016;19875
Campanha;Pinheiro Machado;Arroz;Alta;2017;20000
